season,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,casual,registered,cnt
1,1,0,0,6,0,1,0.24,0.81,3,13,16
1,1,1,0,6,0,1,0.22,0.8,8,32,40
1,1,2,0,6,0,1,0.22,0.8,5,27,32
1,1,3,0,6,0,1,0.24,0.75,3,10,13
1,1,4,0,6,0,1,0.24,0.75,0,1,1
1,1,5,0,6,0,2,0.24,0.75,0,1,1
1,1,6,0,6,0,1,0.22,0.8,2,0,2
1,1,7,0,6,0,1,0.2,0.86,1,2,3
1,1,8,0,6,0,1,0.24,0.75,1,7,8
1,1,9,0,6,0,1,0.32,0.76,8,6,14
1,1,10,0,6,0,1,0.38,0.76,12,24,36
1,1,11,0,6,0,1,0.36,0.81,26,30,56
1,1,12,0,6,0,1,0.42,0.77,29,55,84
1,1,13,0,6,0,2,0.46,0.72,47,47,94
1,1,14,0,6,0,2,0.46,0.72,35,71,106
1,1,15,0,6,0,2,0.44,0.77,40,70,110
1,1,16,0,6,0,2,0.42,0.82,41,52,93
1,1,17,0,6,0,2,0.44,0.82,15,52,67
1,1,18,0,6,0,3,0.42,0.88,9,26,35
1,1,19,0,6,0,3,0.42,0.88,6,31,37
1,1,20,0,6,0,2,0.4,0.87,11,25,36
1,1,21,0,6,0,2,0.4,0.87,3,31,34
1,1,22,0,6,0,2,0.4,0.94,11,17,28
1,1,23,0,6,0,2,0.46,0.88,15,24,39
1,1,0,0,0,0,2,0.46,0.88,4,13,17
1,1,1,0,0,0,2,0.44,0.94,1,16,17
1,1,2,0,0,0,2,0.42,1.0,1,8,9
1,1,3,0,0,0,2,0.46,0.94,2,4,6
1,1,4,0,0,0,2,0.46,0.94,2,1,3
1,1,6,0,0,0,3,0.42,0.77,0,2,2
1,1,7,0,0,0,2,0.4,0.76,0,1,1
1,1,8,0,0,0,3,0.4,0.71,0,8,8
1,1,9,0,0,0,2,0.38,0.76,1,19,20
1,1,10,0,0,0,2,0.36,0.81,7,46,53
1,1,11,0,0,0,2,0.36,0.71,16,54,70
1,1,12,0,0,0,2,0.36,0.66,20,73,93
1,1,13,0,0,0,2,0.36,0.66,11,64,75
1,1,14,0,0,0,3,0.36,0.76,4,55,59
1,1,15,0,0,0,3,0.34,0.81,19,55,74
1,1,16,0,0,0,3,0.34,0.71,9,67,76
1,1,17,0,0,0,1,0.34,0.57,7,58,65
1,1,18,0,0,0,2,0.36,0.46,10,43,53
1,1,19,0,0,0,1,0.32,0.42,1,29,30
1,1,20,0,0,0,1,0.3,0.39,5,17,22
1,1,21,0,0,0,1,0.26,0.44,11,20,31
1,1,22,0,0,0,1,0.24,0.44,0,9,9
1,1,23,0,0,0,1,0.22,0.47,0,8,8
1,1,0,0,1,1,1,0.22,0.44,0,5,5
1,1,1,0,1,1,1,0.2,0.44,0,2,2
1,1,4,0,1,1,1,0.16,0.47,0,1,1
1,1,5,0,1,1,1,0.16,0.47,0,3,3
1,1,6,0,1,1,1,0.14,0.5,0,30,30
1,1,7,0,1,1,1,0.14,0.5,1,63,64
1,1,8,0,1,1,1,0.14,0.5,1,153,154
1,1,9,0,1,1,1,0.16,0.43,7,81,88
1,1,10,0,1,1,1,0.18,0.43,11,33,44
1,1,11,0,1,1,1,0.2,0.4,10,41,51
1,1,12,0,1,1,1,0.22,0.35,13,48,61
1,1,13,0,1,1,1,0.24,0.35,8,53,61
1,1,14,0,1,1,1,0.26,0.3,11,66,77
1,1,15,0,1,1,1,0.26,0.3,14,58,72
1,1,16,0,1,1,1,0.26,0.3,9,67,76
1,1,17,0,1,1,1,0.24,0.3,11,146,157
1,1,18,0,1,1,1,0.24,0.32,9,148,157
1,1,19,0,1,1,1,0.2,0.47,8,102,110
1,1,20,0,1,1,1,0.2,0.47,3,49,52
1,1,21,0,1,1,1,0.18,0.64,3,49,52
1,1,22,0,1,1,1,0.14,0.69,0,20,20
1,1,23,0,1,1,1,0.18,0.55,1,11,12
1,1,0,0,2,1,1,0.16,0.55,0,5,5
1,1,1,0,2,1,1,0.16,0.59,0,2,2
1,1,2,0,2,1,1,0.14,0.63,0,1,1
1,1,4,0,2,1,1,0.14,0.63,0,2,2
1,1,5,0,2,1,1,0.12,0.68,0,4,4
1,1,6,0,2,1,1,0.12,0.74,0,36,36
1,1,7,0,2,1,1,0.12,0.74,2,92,94
1,1,8,0,2,1,1,0.14,0.69,2,177,179
1,1,9,0,2,1,1,0.16,0.64,2,98,100
1,1,10,0,2,1,2,0.16,0.69,5,37,42
1,1,11,0,2,1,1,0.22,0.51,7,50,57
