season,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,hr_,temp_,hum_,casual,registered,cnt
1,1,0,0,6,0,1,0.24,0.81,1,1,4,3,13,16
1,1,1,0,6,0,1,0.22,0.8,1,1,4,8,32,40
1,1,2,0,6,0,1,0.22,0.8,1,1,4,5,27,32
1,1,3,0,6,0,1,0.24,0.75,1,1,3,3,10,13
1,1,4,0,6,0,1,0.24,0.75,1,1,3,0,1,1
1,1,5,0,6,0,2,0.24,0.75,1,1,3,0,1,1
1,1,6,0,6,0,1,0.22,0.8,1,1,4,2,0,2
1,1,7,0,6,0,1,0.2,0.86,2,1,4,1,2,3
1,1,8,0,6,0,1,0.24,0.75,2,1,3,1,7,8
1,1,9,0,6,0,1,0.32,0.76,2,1,3,8,6,14
1,1,10,0,6,0,1,0.38,0.76,2,2,3,12,24,36
1,1,11,0,6,0,1,0.36,0.81,2,2,4,26,30,56
1,1,12,0,6,0,1,0.42,0.77,2,2,3,29,55,84
1,1,13,0,6,0,2,0.46,0.72,3,2,3,47,47,94
1,1,14,0,6,0,2,0.46,0.72,3,2,3,35,71,106
1,1,15,0,6,0,2,0.44,0.77,3,2,3,40,70,110
1,1,16,0,6,0,2,0.42,0.82,3,2,4,41,52,93
1,1,17,0,6,0,2,0.44,0.82,3,2,4,15,52,67
1,1,18,0,6,0,3,0.42,0.88,3,2,4,9,26,35
1,1,19,0,6,0,3,0.42,0.88,4,2,4,6,31,37
1,1,20,0,6,0,2,0.4,0.87,4,2,4,11,25,36
1,1,21,0,6,0,2,0.4,0.87,4,2,4,3,31,34
1,1,22,0,6,0,2,0.4,0.94,4,2,4,11,17,28
1,1,23,0,6,0,2,0.46,0.88,4,2,4,15,24,39
1,1,0,0,0,0,2,0.46,0.88,1,2,4,4,13,17
1,1,1,0,0,0,2,0.44,0.94,1,2,4,1,16,17
1,1,2,0,0,0,2,0.42,1.0,1,2,4,1,8,9
1,1,3,0,0,0,2,0.46,0.94,1,2,4,2,4,6
1,1,4,0,0,0,2,0.46,0.94,1,2,4,2,1,3
1,1,6,0,0,0,3,0.42,0.77,1,2,3,0,2,2
1,1,7,0,0,0,2,0.4,0.76,2,2,3,0,1,1
1,1,8,0,0,0,3,0.4,0.71,2,2,3,0,8,8
1,1,9,0,0,0,2,0.38,0.76,2,2,3,1,19,20
1,1,10,0,0,0,2,0.36,0.81,2,2,4,7,46,53
1,1,11,0,0,0,2,0.36,0.71,2,2,3,16,54,70
